                  1         2         3         4         5         6         7         8         9
  9.93E-02  6.94E-07  2.29E-07  7.88E-07  1.11E-06  6.85E-07  2.33E-06  2.72E-06  2.85E-06  2.18E-07
  1.09E-01  3.20E-07  1.60E-07  7.33E-07  1.04E-06  6.49E-07  2.24E-06  2.66E-06  2.82E-06  2.17E-07
  1.20E-01  2.78E-07  1.49E-07  6.81E-07  9.75E-07  6.13E-07  2.14E-06  2.59E-06  2.78E-06  2.16E-07
  1.31E-01  2.63E-07  1.38E-07  6.32E-07  9.11E-07  5.78E-07  2.05E-06  2.52E-06  2.74E-06  2.14E-07
  1.43E-01  2.50E-07  1.29E-07  5.86E-07  8.50E-07  5.43E-07  1.95E-06  2.45E-06  2.70E-06  2.11E-07
  1.57E-01  2.40E-07  1.20E-07  5.44E-07  7.91E-07  5.09E-07  1.86E-06  2.37E-06  2.67E-06  2.16E-07
  1.71E-01  2.31E-07  1.13E-07  5.06E-07  7.36E-07  4.76E-07  1.76E-06  2.30E-06  2.85E-06  3.47E-07
  1.86E-01  2.24E-07  1.07E-07  4.72E-07  6.84E-07  4.45E-07  1.66E-06  2.23E-06  3.00E-06  4.50E-07
  2.02E-01  2.17E-07  1.01E-07  4.41E-07  6.35E-07  4.14E-07  1.57E-06  2.15E-06  2.95E-06  4.51E-07
  2.20E-01  2.11E-07  9.61E-08  4.14E-07  5.90E-07  3.85E-07  1.47E-06  2.06E-06  2.89E-06  4.44E-07
  2.38E-01  2.06E-07  9.19E-08  3.89E-07  5.49E-07  3.58E-07  1.38E-06  1.98E-06  2.94E-06  5.03E-07
  2.58E-01  2.01E-07  8.83E-08  3.68E-07  5.12E-07  3.33E-07  1.29E-06  1.93E-06  3.43E-06  8.33E-07
  2.79E-01  1.96E-07  8.51E-08  3.50E-07  4.78E-07  3.10E-07  1.21E-06  1.92E-06  4.61E-06  1.47E-06
  3.01E-01  1.91E-07  8.23E-08  3.34E-07  4.49E-07  2.88E-07  1.13E-06  1.99E-06  6.69E-06  2.55E-06
  3.24E-01  1.87E-07  7.98E-08  3.20E-07  4.22E-07  2.69E-07  1.05E-06  2.15E-06  1.01E-05  4.32E-06
  3.49E-01  1.82E-07  7.74E-08  3.08E-07  3.99E-07  2.52E-07  9.82E-07  2.43E-06  1.54E-05  7.10E-06
  3.75E-01  1.77E-07  7.52E-08  2.97E-07  3.79E-07  2.36E-07  9.16E-07  2.96E-06  2.36E-05  1.13E-05
  4.03E-01  1.71E-07  7.30E-08  2.87E-07  3.61E-07  2.23E-07  8.55E-07  3.81E-06  3.57E-05  1.75E-05
  4.32E-01  1.66E-07  7.08E-08  2.78E-07  3.45E-07  2.11E-07  7.99E-07  4.98E-06  5.26E-05  2.61E-05
  4.62E-01  1.60E-07  6.86E-08  2.69E-07  3.31E-07  2.00E-07  7.48E-07  6.53E-06  7.52E-05  3.78E-05
  4.94E-01  1.54E-07  6.64E-08  2.60E-07  3.18E-07  1.90E-07  7.01E-07  8.48E-06  1.04E-04  5.30E-05
  5.27E-01  1.48E-07  6.42E-08  2.52E-07  3.06E-07  1.81E-07  6.59E-07  1.09E-05  1.40E-04  7.21E-05
  5.62E-01  1.42E-07  6.19E-08  2.43E-07  2.95E-07  1.74E-07  6.22E-07  1.36E-05  1.83E-04  9.53E-05
  5.98E-01  1.35E-07  5.95E-08  2.35E-07  2.85E-07  1.67E-07  5.88E-07  1.68E-05  2.33E-04  1.23E-04
  6.36E-01  1.29E-07  5.71E-08  2.26E-07  2.75E-07  1.60E-07  5.57E-07  2.03E-05  2.89E-04  1.54E-04
  6.74E-01  1.22E-07  5.46E-08  2.18E-07  2.66E-07  1.54E-07  5.30E-07  2.42E-05  3.51E-04  1.90E-04
  7.15E-01  1.15E-07  5.20E-08  2.09E-07  2.56E-07  1.49E-07  5.05E-07  2.83E-05  4.18E-04  2.29E-04
  7.56E-01  1.07E-07  4.93E-08  2.00E-07  2.47E-07  1.43E-07  4.82E-07  3.26E-05  4.89E-04  2.72E-04
  7.99E-01  9.97E-08  4.66E-08  1.90E-07  2.37E-07  1.38E-07  4.62E-07  3.75E-05  5.68E-04  3.20E-04
  8.43E-01  9.20E-08  4.38E-08  1.81E-07  2.27E-07  1.33E-07  4.43E-07  4.18E-05  6.38E-04  3.64E-04
  8.88E-01  8.41E-08  4.10E-08  1.71E-07  2.18E-07  1.28E-07  4.26E-07  4.69E-05  7.18E-04  4.16E-04
  9.35E-01  7.60E-08  3.81E-08  1.61E-07  2.08E-07  1.23E-07  4.09E-07  5.17E-05  7.91E-04  4.65E-04
  9.82E-01  6.79E-08  3.51E-08  1.51E-07  1.98E-07  1.18E-07  3.94E-07  5.67E-05  8.67E-04  5.17E-04
                 10        11        12        13        14        15        16        17        18
  7.00E-06  7.48E-05  2.16E-04  1.02E-04  1.24E-04  3.50E-05  7.60E-07  1.16E-07  4.80E-05  2.40E-05
  8.47E-06  9.40E-05  2.71E-04  1.28E-04  1.56E-04  4.41E-05  8.91E-07  1.16E-07  4.86E-05  2.43E-05
  1.02E-05  1.18E-04  3.41E-04  1.61E-04  1.97E-04  5.54E-05  1.06E-06  1.16E-07  4.94E-05  2.48E-05
  1.23E-05  1.46E-04  4.21E-04  1.98E-04  2.43E-04  6.84E-05  1.25E-06  1.16E-07  4.99E-05  2.51E-05
  1.48E-05  1.77E-04  5.10E-04  2.40E-04  2.94E-04  8.28E-05  1.46E-06  1.16E-07  4.99E-05  2.49E-05
  1.79E-05  2.13E-04  6.14E-04  2.89E-04  3.54E-04  9.97E-05  1.67E-06  1.16E-07  4.98E-05  2.46E-05
  2.14E-05  2.49E-04  7.18E-04  3.38E-04  4.14E-04  1.17E-04  1.93E-06  1.16E-07  4.96E-05  2.42E-05
  2.57E-05  2.83E-04  8.15E-04  3.84E-04  4.70E-04  1.32E-04  2.22E-06  1.16E-07  4.95E-05  2.39E-05
  3.08E-05  3.10E-04  8.95E-04  4.22E-04  5.16E-04  1.45E-04  2.55E-06  1.16E-07  4.95E-05  2.37E-05
  3.68E-05  3.28E-04  9.46E-04  4.46E-04  5.45E-04  1.54E-04  2.94E-06  1.16E-07  4.95E-05  2.35E-05
  4.39E-05  3.30E-04  9.53E-04  4.49E-04  5.50E-04  1.55E-04  3.40E-06  1.16E-07  4.96E-05  2.32E-05
  5.24E-05  3.17E-04  9.15E-04  4.31E-04  5.28E-04  1.49E-04  3.92E-06  1.16E-07  4.97E-05  2.30E-05
  6.23E-05  2.88E-04  8.30E-04  3.91E-04  4.79E-04  1.35E-04  4.52E-06  1.16E-07  4.99E-05  2.27E-05
  7.41E-05  2.42E-04  6.98E-04  3.29E-04  4.03E-04  1.13E-04  5.18E-06  1.17E-07  5.01E-05  2.24E-05
  8.79E-05  1.82E-04  5.25E-04  2.47E-04  3.02E-04  8.52E-05  5.87E-06  1.17E-07  5.04E-05  2.22E-05
  1.04E-04  1.18E-04  3.42E-04  1.61E-04  1.97E-04  5.55E-05  6.50E-06  1.17E-07  5.09E-05  2.23E-05
  1.23E-04  6.73E-05  1.95E-04  9.14E-05  1.12E-04  3.15E-05  6.89E-06  1.17E-07  5.13E-05  2.24E-05
  1.46E-04  3.99E-05  1.16E-04  5.42E-05  6.69E-05  1.87E-05  6.74E-06  1.17E-07  5.13E-05  2.24E-05
  1.72E-04  3.83E-05  1.11E-04  5.20E-05  6.41E-05  1.80E-05  5.93E-06  1.17E-07  5.06E-05  2.24E-05
  2.03E-04  5.89E-05  1.70E-04  8.00E-05  9.82E-05  2.76E-05  4.81E-06  1.17E-07  4.95E-05  2.23E-05
  2.39E-04  9.28E-05  2.68E-04  1.26E-04  1.55E-04  4.35E-05  3.79E-06  1.16E-07  4.84E-05  2.21E-05
  2.80E-04  1.27E-04  3.66E-04  1.72E-04  2.11E-04  5.94E-05  3.00E-06  1.16E-07  4.72E-05  2.17E-05
  3.29E-04  1.51E-04  4.36E-04  2.06E-04  2.52E-04  7.09E-05  2.43E-06  1.17E-07  4.61E-05  2.13E-05
  3.86E-04  1.64E-04  4.74E-04  2.24E-04  2.74E-04  7.71E-05  2.04E-06  1.17E-07  4.52E-05  2.09E-05
  4.51E-04  1.69E-04  4.88E-04  2.30E-04  2.81E-04  7.93E-05  1.76E-06  1.17E-07  4.43E-05  2.05E-05
  5.27E-04  1.67E-04  4.83E-04  2.28E-04  2.79E-04  7.85E-05  1.58E-06  1.17E-07  4.37E-05  2.02E-05
  6.15E-04  1.61E-04  4.64E-04  2.19E-04  2.68E-04  7.55E-05  1.45E-06  1.17E-07  4.33E-05  2.01E-05
  7.16E-04  1.51E-04  4.36E-04  2.05E-04  2.51E-04  7.08E-05  1.36E-06  1.17E-07  4.32E-05  2.02E-05
  8.34E-04  1.39E-04  4.01E-04  1.89E-04  2.31E-04  6.52E-05  1.29E-06  1.17E-07  4.35E-05  2.05E-05
  9.68E-04  1.26E-04  3.64E-04  1.71E-04  2.10E-04  5.91E-05  1.24E-06  1.17E-07  4.43E-05  2.14E-05
  1.12E-03  1.13E-04  3.26E-04  1.54E-04  1.88E-04  5.30E-05  1.21E-06  1.17E-07  4.64E-05  2.37E-05
  1.30E-03  1.01E-04  2.90E-04  1.37E-04  1.67E-04  4.72E-05  1.18E-06  1.17E-07  4.87E-05  2.63E-05
  1.50E-03  8.89E-05  2.57E-04  1.21E-04  1.48E-04  4.17E-05  1.15E-06  1.17E-07  5.13E-05  2.91E-05
  1.74E-03  7.82E-05  2.26E-04  1.06E-04  1.30E-04  3.67E-05  1.13E-06  1.17E-07  5.39E-05  3.23E-05
  2.00E-03  6.85E-05  1.98E-04  9.32E-05  1.14E-04  3.22E-05  1.11E-06  1.16E-07  5.67E-05  3.57E-05
  2.31E-03  5.99E-05  1.73E-04  8.15E-05  9.98E-05  2.81E-05  1.09E-06  1.16E-07  5.97E-05  3.94E-05
  2.66E-03  5.25E-05  1.52E-04  7.14E-05  8.75E-05  2.47E-05  1.07E-06  1.16E-07  6.27E-05  4.33E-05
  3.05E-03  4.60E-05  1.33E-04  6.25E-05  7.66E-05  2.16E-05  1.04E-06  1.16E-07  6.57E-05  4.75E-05
  3.50E-03  4.01E-05  1.16E-04  5.46E-05  6.69E-05  1.89E-05  1.03E-06  1.17E-07  6.88E-05  5.17E-05
  4.00E-03  3.44E-05  9.92E-05  4.67E-05  5.73E-05  1.62E-05  1.05E-06  1.17E-07  7.18E-05  5.61E-05
  4.58E-03  2.90E-05  8.37E-05  3.94E-05  4.83E-05  1.36E-05  1.13E-06  1.17E-07  7.48E-05  6.06E-05
  5.23E-03  2.43E-05  7.02E-05  3.30E-05  4.06E-05  1.14E-05  1.26E-06  1.17E-07  7.78E-05  6.52E-05
  5.96E-03  2.02E-05  5.84E-05  2.75E-05  3.37E-05  9.51E-06  1.44E-06  1.17E-07  8.09E-05  7.00E-05
  6.79E-03  1.70E-05  4.91E-05  2.31E-05  2.84E-05  8.00E-06  1.64E-06  1.17E-07  8.41E-05  7.50E-05
  7.72E-03  1.44E-05  4.19E-05  1.97E-05  2.42E-05  6.82E-06  1.84E-06  1.17E-07  8.73E-05  8.03E-05
  8.76E-03  1.26E-05  3.65E-05  1.71E-05  2.11E-05  5.94E-06  2.00E-06  1.18E-07  9.08E-05  8.58E-05
  9.93E-03  1.11E-05  3.23E-05  1.51E-05  1.87E-05  5.26E-06  2.14E-06  1.18E-07  9.52E-05  9.26E-05
  1.12E-02  9.99E-06  2.91E-05  1.36E-05  1.69E-05  4.74E-06  2.21E-06  1.19E-07  1.01E-04  1.01E-04
  1.27E-02  9.09E-06  2.65E-05  1.24E-05  1.54E-05  4.32E-06  2.25E-06  1.19E-07  1.07E-04  1.11E-04
  1.43E-02  8.31E-06  2.43E-05  1.13E-05  1.41E-05  3.95E-06  2.27E-06  1.20E-07  1.13E-04  1.21E-04
  1.62E-02  7.53E-06  2.20E-05  1.03E-05  1.28E-05  3.59E-06  2.32E-06  1.20E-07  1.20E-04  1.31E-04
  1.82E-02  6.76E-06  1.98E-05  9.23E-06  1.15E-05  3.23E-06  2.43E-06  1.21E-07  1.26E-04  1.43E-04
  2.05E-02  6.00E-06  1.77E-05  8.20E-06  1.03E-05  2.87E-06  2.62E-06  1.22E-07  1.33E-04  1.55E-04
  2.30E-02  5.29E-06  1.56E-05  7.24E-06  9.11E-06  2.54E-06  2.88E-06  1.23E-07  1.41E-04  1.68E-04
  2.57E-02  4.63E-06  1.37E-05  6.33E-06  8.02E-06  2.23E-06  3.20E-06  1.24E-07  1.48E-04  1.81E-04
  2.88E-02  4.02E-06  1.20E-05  5.50E-06  7.03E-06  1.94E-06  3.55E-06  1.25E-07  1.55E-04  1.96E-04
  3.22E-02  3.45E-06  1.04E-05  4.73E-06  6.12E-06  1.68E-06  3.96E-06  1.26E-07  1.63E-04  2.11E-04
  3.59E-02  2.91E-06  8.91E-06  3.99E-06  5.25E-06  1.42E-06  4.43E-06  1.28E-07  1.71E-04  2.27E-04
  4.00E-02  2.38E-06  7.41E-06  3.26E-06  4.39E-06  1.17E-06  4.94E-06  1.29E-07  1.79E-04  2.44E-04
  4.45E-02  1.87E-06  5.99E-06  2.56E-06  3.58E-06  9.33E-07  5.53E-06  1.31E-07  1.87E-04  2.62E-04
  4.95E-02  1.39E-06  4.66E-06  1.91E-06  2.82E-06  7.07E-07  6.20E-06  1.33E-07  1.95E-04  2.80E-04
  5.49E-02  9.48E-07  3.46E-06  1.30E-06  2.13E-06  4.99E-07  6.93E-06  1.35E-07  2.04E-04  2.99E-04
  6.08E-02  5.76E-07  2.45E-06  7.91E-07  1.56E-06  3.23E-07  7.72E-06  1.38E-07  2.12E-04  3.19E-04
  6.73E-02  3.18E-07  1.69E-06  3.97E-07  1.14E-06  1.89E-07  8.54E-06  1.40E-07  2.20E-04  3.40E-04
  7.43E-02  3.14E-07  1.35E-06  2.35E-07  9.82E-07  1.81E-07  9.41E-06  1.43E-07  2.29E-04  3.61E-04
  8.20E-02  3.12E-07  1.38E-06  2.34E-07  1.01E-06  1.80E-07  1.03E-05  1.46E-07  2.37E-04  3.83E-04
  9.03E-02  3.10E-07  1.43E-06  2.33E-07  1.06E-06  1.80E-07  1.12E-05  1.49E-07  2.45E-04  4.05E-04
  9.93E-02  3.07E-07  1.49E-06  2.31E-07  1.11E-06  1.81E-07  1.21E-05  1.52E-07  2.49E-04  4.17E-04
  1.09E-01  3.05E-07  1.53E-06  2.30E-07  1.14E-06  1.81E-07  1.27E-05  1.56E-07  2.47E-04  4.15E-04
  1.20E-01  3.02E-07  1.57E-06  2.29E-07  1.18E-06  1.80E-07  1.33E-05  1.59E-07  2.44E-04  4.14E-04
  1.31E-01  2.99E-07  1.60E-06  2.27E-07  1.20E-06  1.80E-07  1.39E-05  1.63E-07  2.42E-04  4.12E-04
  1.43E-01  2.96E-07  1.62E-06  2.26E-07  1.22E-06  1.80E-07  1.43E-05  1.67E-07  2.40E-04  4.11E-04
  1.57E-01  2.93E-07  1.81E-06  2.24E-07  1.37E-06  1.82E-07  1.68E-05  1.72E-07  2.41E-04  4.09E-04
  1.71E-01  2.93E-07  4.57E-06  2.22E-07  3.57E-06  2.47E-07  4.86E-05  1.83E-07  2.70E-04  4.09E-04
  1.86E-01  2.94E-07  6.59E-06  2.21E-07  5.19E-06  3.00E-07  7.21E-05  1.92E-07  2.92E-04  4.08E-04
