
    OUTPUT FILES FOR THE Sun  

 Solar Constant= 0.746   F_CH4= 6.9401E-07  F_CO2= 2.0000E-01  F_O2= 2.0813E-13  F_N2= 7.7892E-01  F_H2= 1.3770E-03  F_AR= 7.8686E-03  IO3 =  1   IUP=  1
 ICONSERV= 0  FAC= 4.0  ND=101  SRFALB= 0.316  G= 980.7  IMW= 2  INVERSE= 0

 FNO2 = 2.281E-74

 NST=     1 JCONV= 37 CHG=1.55E-02 dt0=5.00E+03 DIVF(1)=-1.08E-01 DIVFrms= 1.04E-01 DT(ND)=-3.11E+00 T(ND)=2.8489E+02

 TIME= 5.000E+03  TIME IN DAYS = 5.787E-02

 PLANETARY ALBEDO:  ALBP = 0.2835

  J     P         ALT         T        CONVEC       DT          TOLD        FH20       FSAVE        FO3        TCOOL       THEAT
 45 8.2233E-03 2.7888E+01 1.9689E+02  0.00E+00  -3.1058E+00  2.0000E+02  1.0485E-07  4.0000E-06  8.4686E-10 -4.1572E+00  8.6949E-01
 46 9.3291E-03 2.7212E+01 1.9689E+02  0.00E+00  -3.1058E+00  2.0000E+02  1.1419E-07  4.0000E-06  7.3796E-10 -3.6732E+00  8.2796E-01
 47 1.0569E-02 2.6544E+01 1.9689E+02  0.00E+00  -3.1058E+00  2.0000E+02  1.2232E-07  4.0000E-06  6.5371E-10 -3.1988E+00  7.8072E-01
 48 1.1955E-02 2.5885E+01 1.9689E+02  0.00E+00  -3.1058E+00  2.0000E+02  1.2669E-07  4.0000E-06  5.8863E-10 -2.7892E+00  7.2719E-01
 49 1.3505E-02 2.5233E+01 1.9689E+02  0.00E+00  -3.1058E+00  2.0000E+02  1.2800E-07  4.0000E-06  5.3728E-10 -2.4797E+00  6.6978E-01
 50 1.5233E-02 2.4589E+01 1.9689E+02  0.00E+00  -3.1058E+00  2.0000E+02  1.2825E-07  4.0000E-06  4.9212E-10 -2.2538E+00  6.1366E-01
 51 1.7158E-02 2.3952E+01 1.9689E+02  0.00E+00  -3.1058E+00  2.0000E+02  1.3035E-07  4.0000E-06  4.4717E-10 -2.0737E+00  5.6381E-01
 52 1.9298E-02 2.3324E+01 1.9689E+02  0.00E+00  -3.1058E+00  2.0000E+02  1.3657E-07  4.0000E-06  4.0223E-10 -1.9038E+00  5.2350E-01
 53 2.1674E-02 2.2703E+01 1.9689E+02  0.00E+00  -3.1058E+00  2.0000E+02  1.4767E-07  4.0000E-06  3.5793E-10 -1.7257E+00  4.9340E-01
 54 2.4308E-02 2.2091E+01 1.9689E+02  0.00E+00  -3.1058E+00  2.0000E+02  1.6230E-07  4.0000E-06  3.1633E-10 -1.5401E+00  4.7170E-01
 55 2.7223E-02 2.1486E+01 1.9689E+02  0.00E+00  -3.1058E+00  2.0000E+02  1.8081E-07  4.0000E-06  2.7719E-10 -1.3591E+00  4.5503E-01
 56 3.0443E-02 2.0888E+01 1.9689E+02  0.00E+00  -3.1058E+00  2.0000E+02  2.0060E-07  4.0000E-06  2.4143E-10 -1.1953E+00  4.3987E-01
 57 3.3996E-02 2.0299E+01 1.9689E+02  0.00E+00  -3.1058E+00  2.0000E+02  2.2271E-07  4.0000E-06  2.0809E-10 -1.0575E+00  4.2386E-01
