     ALT          P          T          FH2O           O3           THEAT        TCOOL        PSATCO2        FCO2
8.2599E+00  3.1238E-01 2.2306E+02    2.9204E-05    4.8455E-17    2.6965E-01   -1.9229E+00    6.8038E+00    2.0000E-01
7.8070E+00  3.3652E-01 2.2761E+02    5.0838E-05    2.4599E-17    3.1553E-01   -2.2582E+00    8.1495E+00    2.0000E-01
7.3540E+00  3.6202E-01 2.3208E+02    8.5869E-05    1.3997E-17    3.6611E-01   -2.5225E+00    9.6592E+00    2.0000E-01
6.9014E+00  3.8888E-01 2.3646E+02    1.4063E-04    9.0773E-18    4.2046E-01   -2.6802E+00    1.1328E+01    2.0000E-01
6.4498E+00  4.1714E-01 2.4071E+02    2.2315E-04    6.5581E-18    4.7451E-01   -2.6692E+00    1.3143E+01    2.0000E-01
5.9997E+00  4.4681E-01 2.4480E+02    3.4291E-04    5.1199E-18    5.2029E-01   -2.5693E+00    1.5085E+01    2.0000E-01
5.5519E+00  4.7791E-01 2.4872E+02    5.1030E-04    4.1528E-18    5.5455E-01   -2.4531E+00    1.7133E+01    2.0000E-01
5.1068E+00  5.1043E-01 2.5244E+02    7.3591E-04    3.1654E-18    5.7741E-01   -2.3076E+00    1.9259E+01    2.0000E-01
4.6652E+00  5.4439E-01 2.5595E+02    1.0297E-03    2.2510E-18    5.9099E-01   -2.1391E+00    2.1438E+01    2.0000E-01
4.2277E+00  5.7977E-01 2.5925E+02    1.4007E-03    1.6004E-18    5.9837E-01   -1.9135E+00    2.3646E+01    2.0000E-01
3.7949E+00  6.1656E-01 2.6235E+02    1.8562E-03    1.1594E-18    6.0216E-01   -1.6260E+00    2.5866E+01    2.0000E-01
3.3672E+00  6.5475E-01 2.6526E+02    2.4023E-03    8.4773E-19    6.0503E-01   -1.3369E+00    2.8081E+01    2.0000E-01
2.9454E+00  6.9430E-01 2.6798E+02    3.0436E-03    6.3057E-19    6.0747E-01   -1.1024E+00    3.0281E+01    2.0000E-01
2.5297E+00  7.3519E-01 2.7053E+02    3.7835E-03    4.7741E-19    6.0656E-01   -9.3170E-01    3.2457E+01    2.0000E-01
2.1207E+00  7.7737E-01 2.7293E+02    4.6241E-03    3.6612E-19    5.9936E-01   -8.5784E-01    3.4604E+01    2.0000E-01
1.7186E+00  8.2078E-01 2.7541E+02    5.6357E-03    2.8379E-19    5.8946E-01   -8.7066E-01    3.6938E+01    2.0000E-01
1.3236E+00  8.6538E-01 2.7778E+02    6.6023E-03    2.2185E-19    5.6734E-01   -8.9759E-01    3.9275E+01    2.0000E-01
9.3597E-01  9.1109E-01 2.8006E+02    7.8099E-03    1.7499E-19    5.5761E-01   -9.6116E-01    4.1621E+01    2.0000E-01
5.5608E-01  9.5784E-01 2.8221E+02    9.0067E-03    1.3825E-19    5.5305E-01   -1.0961E+00    4.3938E+01    2.0000E-01
1.8422E-01  1.0055E+00 2.8428E+02    1.0372E-02    1.0818E-19    5.6855E-01   -1.1897E+00    4.6254E+01    2.0000E-01
0.0000E+00  1.0299E+00 2.8528E+02    1.1121E-02    1.1100E-19    0.0000E+00    0.0000E+00    4.7410E+01    2.0000E-01
